Video ID,Judul,Tanggal Upload,Channel,Country Channel,Subscribers,Total Video Channel,Tags,Kategori,Views,Likes,Comments,Durasi,Definition,Dimension,Projection,Caption,Topic Categories,Lokasi Rekaman,Lokasi Keterangan,Description,Thumbnail URL,Komentar Lengkap
l9xfBALx5iA,"ERUPSI SEMERU, KETIKA GUNUNG API PALING AKTIF DI JAWA MELETUS LAGI",2025-11-21T08:07:53Z,Arthasindo TV,ID,18100,634,"berita, portal media online, news, breaking news, event, hot news, indonesia, politik, top, hits, arthasindo, arthasindotv, arthasindodaily",News & Politics,267,3,0,PT51S,hd,2d,rectangular,FALSE,,,,"Terima kasih sudah menonton, Subscribe Arthasindo TV dan support kami agar kami dapat upload video-video menarik lainnya hampir di setiap harinya, Terima Kasih.

Follow US:
Instagram: https://www.instagram.com/arthasindotv/
Facebook Page: https://www.facebook.com/arthasindotv/ 
Tiktok: https://www.tiktok.com/@arthasindotv



#beritaviral #beritahariini #beritaheboh #share #fyp #fypシ #fypシ゚viral #fypyoutube #fypviral #arthasindotv",https://i.ytimg.com/vi/l9xfBALx5iA/default.jpg,
apv9Wlh6-rg,Material Lumpur dan Pasir Erupsi Semeru Mengendap di Jalan Maupun Rumah Warga | tvOne,2025-11-21T07:29:51Z,tvOneNews ,ID,16000000,241289,"tvone, tvonenews, tv one, tvone live, tv one live, news, berita, tvone terbaru, tv one terbaru, tvone update, berita terkini, news update, tvonenews.com, live streaming, kabar petang, apa kabar indonesia, ilc tvone, talkshow, ilc, tvone minute, talk show, catatan demokrasi, livestreaming tvone, viral, berita viral, breaking news, tvone news, tv one news, berita hari ini",News & Politics,4472,107,30,PT4M57S,hd,2d,rectangular,FALSE,https://en.wikipedia.org/wiki/Society,,,"AKIS, https://www.tvOnenews.com - Material Lumpur dan Pasir Erupsi Semeru Mengendap di Jalan Maupun Rumah Warga | tvOne

Material erupsi Gunung Semeru, termasuk lumpur dan pasir, telah mengendap dan menimbun jalan serta rumah warga di beberapa wilayah, seperti Dusun Sumbersari, Desa Supiturang, Kecamatan Pronojiwo, Lumajang. Material ini berasal dari awan panas dan banjir lahar yang menyebabkan kerusakan parah, bahkan membuat puluhan rumah rata dengan tanah dan fasilitas umum seperti sekolah dan musala turut terdampak. Petugas gabungan sedang melakukan pembersihan material vulkanik untuk membantu warga. 

AKIS01
GUS01
UK01

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",https://i.ytimg.com/vi/apv9Wlh6-rg/default.jpg,"Sebaiknya warga pindah demi kenyamanan dan ketenangan || Assalamualaikum warahmatullahi wa Warga gunung Semeru semoga semua sehat2 aja apa yang kita usahakan mudahan bisa berhasil sukses Amin ya rabbal alamin terimakasih 🌹❤️❤️❤️ balas || Lagian ko pada betah bngt tgl di dkt gunung berapi pindah lah ke desa lain atau ke kota || Y Alloh semoga mereka selalu dlm lindunganMu || Semoga aman semua penggsi selamat semua sehat selalu || Hai kalian orang jawa  pulanglah kekampung mu dia membutuhkan uluran tangan mu sadarlah sadar sadar.!!! || Kopi Pai udah nongol blom tu suruh ngirim durian tu kok gak ada yang bagi bagi bansos tu orang pada sembunyi za || Bismillah innalilahi wainnailaihi rojiun, Alloh SWT akan menggantinya dengan yang lebih baik, sabar dan tawakal pasti akan di mudahkan semua urusannya, Aamin || Itu rumah orang yg triak.triak kebingungan itu yah..😭 semoga cepet pulih semula lagi || Warga y lebih percaya sesajen,... || Gubenurnya gimana sdh meninjaukahh || Innalillahi Wa Innaillaihi Rojiun.
Nauadzubillah Min Dzalik atas kejadian ini. || mereka yg mau direkolasi ditrans kalimantan, atau rekolasi di sekitar lumajang.
Warga jatim banyak yg trans dikalimantan. || Pokok intinya buat penambang pasir yang ada di kawasan  gunung dimna berada janganlah serakah ambil secukupnya agar bumi tidak murka kepada manusia""serakah || Ya Alloh bencana lagi semoga  warga di sana sbr dan selalu berdoa || JANGAN BANDEL KALO DISURUH RELOKASI. || Pindah ajaaa || Semoga semua yg.terdampak selalu diberi keselamatan,kesehatan ,dimudahkan rizkinya dan semua kemudahan urusannya,aamiin || Tanah di lereng gunung memang subur & penghuni nya hidupnya makmur, tapi ketika gunungnya meletus, maka kehidupan penghuninya juga hancur, itulah resiko nya. || Penguasa semeru yaitu astadewa, mengamuk || Ngak pa2 itu rejeki datang jadi banyak pasir juga material harya karon datang || Yah itu hukum alam kalau dunia itu sangat kotor || Barangkali di sana ada jawabnya
Mengapa di tanahku terjadi bencana
Mungkin Tuhan mulai bosan melihat tingkah kita
Yang selalu salah dan bangga dengan dosa-dosa
Atau alam mulai enggan bersahabat dengan kita
Coba kita bertanya pada rumput yang bergoyang || alam sudah nggan bersahabat dengan kita"
iJ1YAKa7fOE,"Erupsi Semeru Hancur Leburkan Sekolah hingga Rumah di Sumbersari, Sekda Ungkap Dampak Terkini",2025-11-21T07:07:58Z,Tribunnews,ID,15300000,396017,"Erupsi Semeru, Dampak Erupsi Sumbersari, Sekolah Hancur Semeru, Rumah Hancur Erupsi, Sekda Ungkap Dampak Terkini, Gunung Semeru Meletus, Bencana Semeru, Lumajang, Jawa Timur, Sumbersari, Abu Vulkanik, Dampak Bencana",News & Politics,148,2,0,PT8M53S,hd,2d,rectangular,FALSE,,,,"Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru

Laporan wartawan, Surya Malang - Erwin Wicaksono
TRIBUN-VIDEO.COM - Erupsi Gunung Semeru menimbulkan dampak signifikan bagi warga di kawasan rawan bencana, terutama di Dusun Sumbersari, Desa Supiturang, Kecamatan Pronojiwo, Kabupaten Lumajang, Jawa Timur.

Pantauan di Dusun Sumbersari, sejumlah fasilitas umum turut terdampak, sementara ratusan rumah warga tampak hancur dihantam awan panas, Rabu (19/11/2025). 

Program: Live Update
Host: Nurma Aisyah
Editor Video: Agilio OktoViasta, Muhammad Adnan Hidayat
Uploader: Ghozi LuthfiRomadhon",https://i.ytimg.com/vi/iJ1YAKa7fOE/default.jpg,
CGN5mFTMAjg,Update Terkini Pasca Erupsi Semeru: 187 Pendaki di Ranu Kumbolo Selamat,2025-11-21T07:01:57Z,KOMPASTV LAMPUNG,ID,879000,50985,"kompastv, kompastv lampung, berita lampung, lampung",News & Politics,53,0,0,PT4M39S,hd,2d,rectangular,FALSE,https://en.wikipedia.org/wiki/Television_program,,,"KOMPAS.TV - Saat terjadi erupsi Gunung Semeru di Jawa Timur, ada 187 orang pendaki tengah berada di sana. Mereka terdiri dari 129 pendaki serta porter dan petugas dari Taman Nasional Bromo Tengger Semeru.

Kepala Balai Besar Taman Nasional Bromo Tengger Semeru menjelaskan, pendaki dalam perjalanan menuju Ranu Kumbolo saat Gunung Semeru erupsi. Petugas tidak langsung mengevakuasi mereka karena kondisi hujan dan rawan terjadinya erupsi susulan.

Material erupsi Semeru tidak mengarah ke Ranu Kumbolo yang berada di sisi utara, sedangkan material erupsi mengarah ke sisi selatan dan tenggara.

Setelah situasi membaik, mereka berhasil dievakuasi dalam keadaan selamat.

Pasca erupsi, warga yang berada di radius 15 kilometer dari puncak Semeru mengungsi ke sejumlah lokasi. Gubernur Jawa Timur, Khofifah Indar Parawansa, yang meninjau pengungsian warga di SD Negeri 4 Supit Urang, Kecamatan Candipuro, Jawa Timur, menyatakan kebutuhan dasar pengungsi terpenuhi dengan baik.

Erupsi Gunung Semeru menyebabkan lebih dari 200 rumah warga rusak dan 124 hewan ternak mati. Pihak Taman Nasional menutup pendakian ke Gunung Semeru untuk sementara, sampai kondisi dinyatakan aman.

#erupsisemeru #ranukumbolo #pendakisemeru

Agar tidak ketinggalan berita-berita terkini dan terlengkap, yuk subscribe channel YouTube Kompas TV Lampung!

Aktifkan juga lonceng supaya kamu dapat notifikasi video terbaru dari Kompas TV. Sahabat Kompas TV juga bisa memperoleh informasi terkini melalui website: https://www.kompas.tv.",https://i.ytimg.com/vi/CGN5mFTMAjg/default.jpg,
w4pO1GbO9Fo,kondisi pasca erupsi semeru#alam #pemandanganpegunungan #semeru #shorts #semerumeletus,2025-11-21T06:57:37Z,NGAWUR,ID,1860,118,,People & Blogs,647,18,0,PT50S,hd,2d,rectangular,FALSE,,,,,https://i.ytimg.com/vi/w4pO1GbO9Fo/default.jpg,
bAEFqgKwgg4,"Lebih dari 200 Rumah Rusak Akibat Erupsi Semeru, Warga Diminta Jauhi Aliran Sungai | Fokus",2025-11-21T06:55:39Z,Fokus Indosiar,ID,220000,36411,"indosiar, fokus, fokus indosiar, news, patroli indosiar, berita indosiar, indosiar berita, patroli",News & Politics,190,6,0,PT2M27S,hd,2d,rectangular,FALSE,https://en.wikipedia.org/wiki/Television_program,,,"Simak berita-berita lainnya di: https://www.vidio.com/@indosiar

#NewsIndosiar #Fokus #FokusIndosiar

Lebih dari 200 rumah dilaporkan rusak akibat erupsi Gunung Semeru yang melanda Kecamatan Pronojiwo, Lumajang, Jawa Timur. Masyarakat diminta menjauhi aliran sungai karena potensi banjir lahar dingin masih tinggi dan diperkirakan dapat terjadi kembali.

Fokus Indosiar adalah program berita televisi nasional yang berada di bawah naungan PT. Elang Mahkota Teknologi (Emtek). Menayangkan rangkaian informasi berita menarik pilihan pada pagi, siang, dan malam hari mengenai peristiwa dalam negeri maupun mancanegara yang aktual dan terkini.

Jangan lewatkan tayangan berita Fokus indosiar, dengan terus mengikuti perkembangannya melalui media sosial:

Facebook Indosiar: https://www.facebook.com/IndosiarID.TV
Twitter Indosiar: https://twitter.com/Indosiar
Vidio Indosiar: https://www.vidio.com/@indosiar

Anda juga dapat mengikuti informasi pilihan seputar berita hukum dan kriminal, tragedi, bencana alam, hingga orang hilang di media sosial Patroli Indosiar:
YouTube Patroli Indosiar: https://www.youtube.com/channel/UCBAVdDhEffiaMdaizKnU-Cw
TikTok Patroli Indosiar: https://www.tiktok.com/@patroli.indosiar",https://i.ytimg.com/vi/bAEFqgKwgg4/default.jpg,
VvlPawL9Cfc,"Sirine Mencekam, Kesaksian Daniyal Saat Erupsi Semeru Tiba-tiba Ada Lahar",2025-11-21T06:47:13Z,Tribun Jateng,ID,3510000,114926,"Kesaksian Daniyal Erupsi Semeru, Sirine Mencekam, Kesaksian Daniyal Saat Erupsi Semeru Tiba-tiba Ada Lahar, Erupsi Semeru, Gunung Semeru di Lumajang, Jawa Timur",News & Politics,630,8,0,PT1M,hd,2d,rectangular,FALSE,https://en.wikipedia.org/wiki/Society,,,"Sirine Mencekam, Kesaksian Daniyal Saat Erupsi Semeru Tiba-tiba Ada Lahar

Program: News Update
Host : Elyn Windiyastuti
Editor : ica

Download aplikasi berita TribunX di PlayStore atau AppStore untuk dapatkan pengalaman baru

Jangan sampai ketinggalan informasi terupdate dan berita pilihan Tribun Jateng. Ikuti saluran kami di WhatsApp Channel : https://whatsapp.com/channel/0029VaGGNpD2ZjCsQdoscl3o",https://i.ytimg.com/vi/VvlPawL9Cfc/default.jpg,
-SXwvvDg5Mw,"Sirine Mencekam, Kesaksian Daniyal Saat Erupsi Semeru Tiba-tiba Ada Lahar",2025-11-21T06:46:03Z,Tribun Jateng,ID,3510000,114926,"Kesaksian Daniyal Erupsi Semeru, Sirine Mencekam, Kesaksian Daniyal Saat Erupsi Semeru Tiba-tiba Ada Lahar, Erupsi Semeru, Gunung Semeru di Lumajang, Jawa Timur",News & Politics,124,0,0,PT2M,hd,2d,rectangular,FALSE,,,,"Erupsi Gunung Semeru di Lumajang, Jawa Timur, menyisakan duka mendalam bagi warga terdampak, Kamis (19/11/2025). Daniyal turut menjadi saksi keganasan awan panas disusul material lahar vulkanik yang meluluhlantakkan wilayahnya. 

Daniyal merupakan warga Dusun Sumbersari, Desa Supiturang, Kecamatan Pronojiwo, Kabupaten Lumajang. 

Beruntung, Dahiyal berhasil menyelamatkan diri saat Gunung Semeru yang memiliki ketinggian 3.676 meter di atas permukaan laut (mdpl) ini, kembali erupsi selama 118 detik pada Rabu petang, kemarin. 

Rumah dan tempat usaha Dahiyal pun terdampak erupsi awan panas. 

Pria berusia 37 tahun itu, mengaku tidak menyangka aliran awan panas bakal mencapai permukiman mereka.

Dalam kesempatan tersebut, Daniyal menceritakan aliran lava maupun lahar dingin tidak pernah mencapai wilayah rumahnya sebelumnya.

Namun, pada erupsi 2025 kali ini, tepatnya menjelang magrib, situasi berubah.

Awan panas yang awalnya dikira tak sampai pemukiman, justru menerjang rumah warga di Dusun Sumbersari, Desa Supiturang.

Daniyal menyebut, ia sempat mendengar suara sirine berbunyi ketika ada lahar menerjang pemukiman.

Aliran material vulkanik berwarna kelabu yang datang cepat itu, lanjut Daniyal, membawa bebatuan dan lumpur pekat. 

Peristiwa tersebut, membawa duka mendalam bagi keluarga Daniyal. 

Rumahnya dipenuhi material vulkanik. Padahal hunian itu, adalah rumah warisan keluarga Daniyal yang berdiri sejak zaman kakeknya.

Saat ini, Daniyal dan keluarganya terpaksa mengungsi di rumah kerabat di Candipuro. 

Ia mengaku, belum berani kembali di rumahnya karena susulan awan panas masih mungkin terjadi. 

Di sisi lain, Daniyal belum bisa menghitung rinci kerugian yang dialaminya akibat erupsi Semeru. 

Meski demikian, ia bersyukur keluarganya selamat dari bahaya erupsi gunung tertinggi di Pulau Jawa tersebut.

Daniyal berharap, kondisi di wilayahnya segera stabil dan pemerintah dapat membantu proses pemulihan.

Program: News Update
Host : Elyn Windiyastuti
Editor : ica

Download aplikasi berita TribunX di PlayStore atau AppStore untuk dapatkan pengalaman baru

Jangan sampai ketinggalan informasi terupdate dan berita pilihan Tribun Jateng. Ikuti saluran kami di WhatsApp Channel : https://whatsapp.com/channel/0029VaGGNpD2ZjCsQdoscl3o",https://i.ytimg.com/vi/-SXwvvDg5Mw/default.jpg,
FyJ9IbCn7xI,"Dampak Erupsi Semeru Lumajang, Pengungsi Alami Gangguan Kesehatan",2025-11-21T06:46:14Z,TribunJatim Official,ID,3310000,74224,"TRIBUNJATIM, ada apa hari ini, peristiwa hari ini, berita hari ini, video viral, viral hari ini, berita trending youtube hari ini",News & Politics,1324,3,2,PT5M9S,hd,2d,rectangular,FALSE,,,,"Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru

Host : Septyana Eka
VP : Reza P
Reporter : Erwin

LUMAJANG – Sejumlah warga terdampak erupsi Gunung Semeru di wilayah Pronojiwo, Kabupaten Lumajang Jawa Timur mulai mengeluhkan masalah kesehatan, 

Salah satu titik pada pengungsi berada di SDN 04 Supiturang, Kecamatan Pronojiwo, yang kini menampung sekitar seratus orang pengungsi. 

Saat ini berbagai keluhan kesehatan mulai muncul di antara para pengungsi. Lansia menjadi kelompok yang paling banyak mengalami masalah kesehatan, seperti tekanan darah tinggi, tekanan darah rendah, sakit kepala, batuk, dan pilek akibat perubahan cuaca dan kondisi tempat tinggal darurat. 

Tidak hanya kelompok lanjut usia, sejumlah anak kecil juga memerlukan perhatian khusus karena membutuhkan popok dan susu yang mulai menipis stoknya di lokasi pengungsian. Lantaran warga mengaku masih mengandalkan stok dari rumah sebelum kejadian 

Website: 
https://surabaya.tribunnews.com/

Instagram: 
http://instagram.com/suryaonline/

Facebook: 
https://www.facebook.com/SURYAonline/

YOUTUBE
https://www.youtube.com/@TribunnewsSurya

#suryaonline #hariansurya #TribunnewsSURYA

Website https://jatim.tribunnews.com/
Twitter https://twitter.com/tribunjatim
Facebook https://www.facebook.com/tribunnewsjatim
Instagram https://www.instagram.com/tribun_jatim/

#tribunjatim #matalokalmenjangkauindonesia",https://i.ytimg.com/vi/FyJ9IbCn7xI/default.jpg,Untuk tambang pasir di lumajang dihentikan biar tdk erupsi || 😮
ZgdGDUhKXY4,"Dampak Erupsi Semeru Lumajang, Pengungsi Alami Gangguan Kesehatan",2025-11-21T06:44:27Z,SURYAMALANG. com (SURYAMALANG.com),ID,297000,40533,"ada apa hari ini, peristiwa hari ini, berita hari ini, video viral, viral hari ini, berita trending youtube hari ini",News & Politics,1270,9,1,PT5M9S,hd,2d,rectangular,FALSE,,,,"Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru

Host : Septyana Eka
VP : Reza P
Reporter : Erwin

LUMAJANG – Sejumlah warga terdampak erupsi Gunung Semeru di wilayah Pronojiwo, Kabupaten Lumajang Jawa Timur mulai mengeluhkan masalah kesehatan, 

Salah satu titik pada pengungsi berada di SDN 04 Supiturang, Kecamatan Pronojiwo, yang kini menampung sekitar seratus orang pengungsi. 

Saat ini berbagai keluhan kesehatan mulai muncul di antara para pengungsi. Lansia menjadi kelompok yang paling banyak mengalami masalah kesehatan, seperti tekanan darah tinggi, tekanan darah rendah, sakit kepala, batuk, dan pilek akibat perubahan cuaca dan kondisi tempat tinggal darurat. 

Tidak hanya kelompok lanjut usia, sejumlah anak kecil juga memerlukan perhatian khusus karena membutuhkan popok dan susu yang mulai menipis stoknya di lokasi pengungsian. Lantaran warga mengaku masih mengandalkan stok dari rumah sebelum kejadian 

Website: 
https://surabaya.tribunnews.com/

Instagram: 
http://instagram.com/suryaonline/

Facebook: 
https://www.facebook.com/SURYAonline/

YOUTUBE
https://www.youtube.com/@TribunnewsSurya

#suryaonline #hariansurya #TribunnewsSURYA
WEBSITE: 
http://suryamalang.com/ 

INSTAGRAM:
http://instagram.com/suryamalang

FACEBOOK:
https://www.facebook.com/suryamalang.tribun

#suryamalang
#malang
#ngalam",https://i.ytimg.com/vi/ZgdGDUhKXY4/default.jpg,"Mati aja sono, pulau intoleran makanya musibah ga berhenti.."
